Prober 3,2ff51d6f7d56dacf3984efe3ad314849
Prober 4,963664e81cb9cd2f16fb03d517962f4b
Punisher,e19c28dbbd6676f0b676d466c6c5b48f
Raider,f0fca9d87f047e452b042ae0501c1f28
Random,212036a01b9cf88aa4e7c3ce7f07abb4
Random Hunter,af74621a1edc36a07ba70dc4f4779d2e
Remorseful Prober,dc5711c021fd79d9a3ed021dd1937c1b
Retaliate,0a451cdd0b03e2d6eaf7e9b3d9f7cb57
Retaliate 2,a0de2412bc953d917b20468b525919c6
Retaliate 3,6254786acfe0b30d145771089cf93778
Ripoff,a94e6e6b56d8e60688c9ef9b283c744f
Risky QLearner,0d8c1e8095a519fc46593aa79e95ba79
Shubik,688f01b557d7d21925d6b0d6ac6ee03c
Slow Tit For Two Tats,0b71154f5551067f3db035ebb4ca6914
Sneaky Tit For Tat,1c34601744066520fa7429a0a256b54d
Soft Grudger,5aab66cc5162a0bd83fa2ead261e375f
Soft Joss,e2a55ebd2c44916bbcd20b333ace343d
SolutionB1,6db1b64ffe95a8d653cc32ef20682978
SolutionB5,dc2a2c02e93755151dd8b173ec5b0983
Spiteful Tit For Tat,86e4d28e8d50c51ac6670f958f4bf49d
Stochastic Cooperator,f8c74aae9e11432d4ca45296d2da054e
Stochastic WSLS,c6d88521ef267a6a6a2bd420e229b3b3
Suspicious Tit For Tat,929c0c7ab1738476663c7bc09363470a
Tester,8e2084e43c3bc99d160d5baac10a3fbe
ThueMorse,0c4e062afefd6964d4cb2cf9260f6007
ThueMorseInverse,fdc3bb23c405264801db3136b64eacea
Thumper,ccb2280fbaefdf16236c9d003b3de7ca
Tit For Tat,1fdaf28c9b41ab21f4f3dba967ce0e66
Tit For 2 Tats,4596aa5d77a9c9fe8d5e7a3cfc594166
Tricky Cooperator,4345c6384de47565e265e9e1c211ca8a
Tricky Defector,82b48f1e815e3259733a1b878a8276a3
Tullock,a4260c2bfb4f2c877c9ebed02738bdc2
Two Tits For Tat,104ef942e67c969468463df46cd7225c
Willing,b7eb98d1278467be1df71c6f51d8e3f5
Win-Shift Lose-Stay,de41c222b276c4a86a9941e376c23a22
Win-Stay Lose-Shift,4903aba2a1e0c94904ba9b1bc7daa77a
Worse and Worse,32d0f8e0b8539f72e41a12b1360e20eb
ZD-Extort-2,979e4a528ca38a747cf45e6d8b09758e
ZD-Extort-2 v2,098334ef2751088bf9d572c3e8904c70
ZD-Extort-4,a893d3fa752f38b2cba0d0d23b95e984
ZD-GTFT-2,4ccdfb389d1f156543b766ffb8ccf5dd
ZD-GEN-2,3fe36e7b4945bc1129e6454e9f0b40b7
ZD-SET-2,35052b381340e28ad2b284a9f5306244
$e$,fb40f03ced74b73e50eac975eef1e476
Meta Hunter,f7b149a4d47bc228f019978b87c0dc42
Meta Majority,96f0255274c2ca6075fb3815bec44c4e
Meta Minority,42718c11ae202fd21772496bf773d42c
Meta Winner,f8c6276cee147e8b43062296bfdb1d92
Meta Majority Memory One,ac2bc981f66d178d45536f652454cd81
Meta Winner Memory One,158408f36133ebe37a2c7219ff9b6845
Meta Majority Finite Memory,87ffdfe82e0c633b4066e9fc6a0ba050
Meta Winner Finite Memory,76b9b75b90b531ac8909019a1634dd00
Meta Majority Long Memory,6ca9162d7290cd1eb18677c17c18f200
Meta Winner Long Memory,413a8e449af92390782cbc4b056a0a36
Meta Mixer,df0b4910155bb51ef3bfcef3589f8f5c
Meta Winner Ensemble,1ba5dc9c1094b8fa208de2958c346fc5
